VALID,URGENT,AIRCRAFT,REPORT,ICING,TURBULENCE,ATRCC,PRODUCT_ID,FL,LAT,LON
202008010045,F,B738,TCC UA /OV TCC357059/TM 0045/FL380/TP B738/TB CONS LGT-OCNL MOD CHOP/RM ZAB/FDCS,None,CONS LGT-OCNL MOD CHOP,ZAB,None,38000,36.164845250097315,-103.66616163676052
202008010045,F,PC12,AKN UA /OV AKN050050/TM 0045/FL130/TP PC12/SK TOP136/TA M8/IC MOD MIX/RM DURC ZAN,MOD MIX,None,ZAN,None,13000,59.20569972961249,-155.41218598110393
202008010047,F,CRJ7,GSP UA /OV GSP090020/TM 0047/FL100/TP CRJ7/SK FEW041/WX 10,None,None,ZTL,None,10000,34.88472,-81.81750388150998
202008010050,F,A320,IAH UA /OV 12 E/TM 0050/FL030/TP A320/SK BASES BKN033 TOPS 043,None,None,ZHU,None,3000,29.98443,-95.34144
202008010052,F,B739,PWK UA /OV OBK040015/TM 0052/FL320/TP B739/TB OCNL LGT,None,OCNL LGT,ZAU,None,32000,42.41152662319523,-87.73299161146745
202008010056,F,SF50,SPI UA /OV SPI225025/TM 0056/FL220/TP SF50/TA M13/IC LGT RIME/RM ZKC FDC,LGT RIME,None,ZKC,None,22000,39.550048309627876,-90.06766903995491
202008010057,F,B737,CMH UA /OV APE300035/TM 0057/FL390/TP B737/SK BASE 390/TB CONS LGT 390 OCNL LGT CHOP 370,None,CONS LGT 390 OCNL LGT CHOP 370,ZID,None,39000,40.44169029169029,-83.25097527658262
202008010100,F,BE35,DVT UA /OV DVT /TM 0100 /FL062 /TP BE35 /TB OCNL LGT CHOP 062/BLO /RM DURC NORTHEAST BOUND,None,OCNL LGT CHOP 062,ZAB,None,6200,33.68831,-112.08256
202008010100,F,C182,O86 UA /OV O86 /TM 0100 /FL135 /TP C182 /WV 18018KT /TB NEG,None,NEG,ZOA,None,13500,40.9828,-122.6937
202008010100,F,C182,MHS UA /OV FJS /TM 0100 /FL115 /TP C182 /WV 17025KT /TB CONS LGT CHOP,None,CONS LGT CHOP,ZSE,None,11500,41.45,-122.81
202008010100,F,B737,DLG UA /OV DLG045034 /TM 0100 /FL180 /TP B737 /TA UNKN /IC LGT RIME 150-180 /RM (AKFSS,LGT RIME 150-180,None,ZAN,None,18000,59.440726298906085,-157.7210429553101
202008010100,F,B737,DLG UA /OV DLG045034 /TM 0100 /FL180 /TP B737 /TA UNKN /IC LGTRIME 150-180 /RM (AKFSS),LGTRIME 150-180,None,ZAN,None,18000,59.440726298906085,-157.7210429553101
202008010103,F,PC12,ENA UA /OV ENA241016/TM 0103/FL135/TP PC12/SK IMC/TA M10/TB NEG/IC LGT MOD RIME/RM 135-160 DURC  AT 165 NEG ICING (ZAN),LGT MOD RIME,NEG,ZAN,None,13500,60.440706962702706,-151.71470466377215
202008010103,F,PC12,ENA UA /OV ENA241016/TM 0103/FL135/TP PC12/SK IMC/TA M10/TB NEG/IC LGT MOD RIME/RM 135-160 DURC  AT 165 NEG ICING (ZAN,LGT MOD RIME,NEG,ZAN,None,13500,60.440706962702706,-151.71470466377215
202008010110,F,E45X,IAH UA /OV 8 S IAH/TM 0110/FL030/TP E45X/SK BASES BKN020/WX LTG S,None,None,ZHU,None,3000,29.851085866655865,-95.34144
202008010111,F,B738,LAA UA /OV LAA160060/TM 0111/FL370/TP B738/TB CONS MOD CHOP FL370-345/RM ZAB/FDCS,None,CONS MOD CHOP FL370-345,ZAB,None,37000,37.13023126403569,-102.25358000755243
202008010112,T,M20P,INW UUA /OV INW200040/TM 0112/FL105/TP M20P/TB SEV/RM MICROBURST -2500FT ZAB/FDCS,None,SEV,ZAB,None,10500,34.39540750935713,-111.00098015885484
202008010114,F,PA24,UAO UA /OV UAO /TM 0114 /FL030 /TP PA24 /SK SKC /WX FV99SM /RM CI,None,None,ZSE,None,3000,45.25,-122.77
202008010117,F,A321,DBQ UA /OV DBQ/TM 0117/FL350/TP A321/TB NEG,None,NEG,ZAU,None,35000,42.39835,-90.709143
202008010117,F,CRJ7,DPA UA /OV DPA/TM 0117/FL060/TP CRJ7/TB NEG,None,NEG,ZAU,None,6000,41.90778,-88.24861
202008010125,F,CRJ9,SDF UA /OV SDF/TM 0125/FLDURD/TP CRJ9/SK BKN028,None,None,ZID,None,None,38.17439,-85.736
202008010125,F,CRJ9,CVG UA /OV 8 SE CVG/TM 0125/FLDURD/TP CRJ9/SK BASES 055 OVC TOPS 100,None,None,ZID,None,None,38.948771459080916,-84.55026940126682
202008010127,F,B737,RIC UA /OV RIC/TM 0127/FL030/TP B737/SK BKN/RM TOPS 030 BKN,None,None,ZDC,None,3000,37.5115,-77.32336
202008010130,F,C172,TIX UA /OV TIX /TM 0130 /FL030 /TP C172 /SK SKC /WX FV15SM /TA 24 /WV 16011KT /TB NEG /IC NEG /RM HZ 10 MILES N OF TIX,NEG,NEG,ZMA,None,3000,28.5148,-80.79923
202008010131,F,UNKN,PAO UA /OV PAO /TM 0131 /FL010 /TP UNKN /SK SKC /WX FV99SM,None,None,ZOA,None,1000,37.46111,-122.11506
202008010133,F,AA5,MNH UA /OV APA180022 /TM 0133 /FL085 /TP AA5 /TB OCNL LGT,None,OCNL LGT,ZDV,None,8500,39.20330363330363,-104.85
202008010133,F,DA42,KTN UA /OV ANN330035/TM 0133/FL170/TP DA42/TA M11/IC LGT RIME/RM (ZAN),LGT RIME,None,ZAN,None,17000,55.54522240528217,-132.07905417340325
202008010133,F,DA42,KTN UA /OV ANN330035/TM 0133/FL170/TP DA42/TA M11/IC LGT RIME/RM (ZAN,LGT RIME,None,ZAN,None,17000,55.54522240528217,-132.07905417340325
202008010134,F,PC12,ANC UA /OV TED230050/TM 0134/FL145/TP PC12/TA M9/IC MOD CLR/RM ICING DURD FROM 145-130 (ZAN),MOD CLR,None,ZAN,None,14500,60.63430027038751,-151.31394360418807
202008010134,F,PC12,ANC UA /OV TED230050/TM 0134/FL145/TP PC12/TA M9/IC MOD CLR/RM ICING DURD FROM 145-130 (ZAN,MOD CLR,None,ZAN,None,14500,60.63430027038751,-151.31394360418807
202008010137,F,A321,PUB UA /OV PUB15001/TM 0137/FL380/TP A321/TB CONT LGT OCNL MOD/RM ZDV,None,CONT LGT OCNL MOD,ZDV,None,38000,38.29,-104.49833
202008010141,F,B739,IAH UA /OV 7NM FINAL RWY27/TM 0141/FLDURD/TP B739/TB LIGHT CHOP ON FINAL,None,LIGHT CHOP ON FINAL,ZHU,None,None,29.98443,-95.34144
202008010142,F,B737,SBN UA /OV GIJ270030/TM 0142/FL250/TP B737/TB CONS LGT CHOP 220-250,None,CONS LGT CHOP 220-250,ZAU,None,25000,41.77,-86.99045295040533
202008010144,F,BE30,IAH UA /OV 7NM FINAL RWY26R/TM 0144/FLDURD/TP BE30/TB LGT CHOP/RM +15KTS GAIN,None,LGT CHOP,ZHU,None,None,29.98443,-95.34144
202008010148,F,E170,IGQ UA /OV CGT/TM 0148/FL210/TP E170/TA M14/IC LGT RIME,LGT RIME,None,ZAU,None,21000,41.51,-87.57
202008010149,F,CRJ9,IAH UA /OV FINAL RWY26R/TM 0149/FLDURD/TP CRJ9/TB LGT CHOP/RM 5-10KT GAIN,None,LGT CHOP,ZHU,None,None,29.98443,-95.34144
202008010150,F,BE20,OTH UA /OV OTH/TM 0150/FL002/TP BE20/SK BASES002/WX 1SM/RM ..ZSE,None,None,ZSE,None,200,43.419462,-124.243737
202008010150,F,A320,IAH UA /OV FINAL RWY27/TM 0150/FLDURD/TP A320/TB LGT CHOP/RM 10KT GAIN,None,LGT CHOP,ZHU,None,None,29.98443,-95.34144
202008010151,F,UNKN,PLU UA /OV WA77 /TM 0151 /FL030 /TP UNKN /SK SKC /WX FV99SM /RM CI,None,None,ZSE,None,3000,47.19,-122.02
202008010152,F,FA20,OXI UA /OV OXI270020/TM 0152/FL320/TP FA20/TB LGT,None,LGT,ZAU,None,32000,41.3301944,-87.10874372150225
202008010152,F,C441,TUS UA /OV TUS/TM 0152/FLDURD/TP C441/WX 10/WV 030 22G34/TB LT-MDT/RM +5LLWS,None,LT-MDT,ZAB,None,None,32.12027,-110.93798
202008010153,F,B738,MSN UA /OV MSN/TM 0153/FL390/TP B738/TB NEG,None,NEG,ZAU,None,39000,43.14056,-89.34528
202008010155,F,E135,CEC UA /OV CEC/TM 0155/FL004/TP E135/SK OVC004/RM ..ZSE,None,None,ZSE,None,400,41.7837,-124.238
202008010156,F,P28A,ACV UA /OV ACV/TM 0156/FL006/TP P28A/SK OVC006/RM FOG ON FINAL  CLR OVER FIELD ..ZSE,None,None,ZSE,None,600,40.97811,-124.10861
202008010202,F,C152,ARB UA /OV ARB /TM 0202 /FL035 /TP C152 /TB LGT CHOP BLO 035 /RM DURD,None,LGT CHOP BLO 035,ZOB,None,3500,42.22396,-83.73972
202008010210,T,M20P,TUS UUA /OV TUS270005/TM 0210/FL045/TP M20P/TB EXTREME TURB,None,EXTREME TURB,ZAB,None,4500,32.12027,-111.03638211400437
202008010210,T,M20P,TUS UUA /OV TUS240005/TM 0210/FL045/TP M20P/TB EXTRM TURB/RM ZAB/FDCS,None,EXTRM TURB,ZAB,None,4500,32.07859995832995,-111.02319873051387
202008010211,F,E145,DBQ UA /OV DBQ/TM 0211/FL090/TP E145/SK SKC,None,None,ZAU,None,9000,42.39835,-90.709143
202008010214,F,C550,DNV UA /OV DNV180025/TM 0214/FL300/TP C550/TA M10/IC LGT RIME 300-270,LGT RIME 300-270,None,ZID,None,30000,39.782999583299585,-87.59552
202008010216,F,E110,CVG UA /OV 5 NE NERVE/TM 0216/FL090/TP E110/TB LGT TURB @ 090/RM NO PRECIP,None,LGT TURB @ 090,ZID,None,9000,39.04306,-84.67167
202008010218,F,UNKN,MDH UA /OV MDH /TM 0218 /FLUNKN /TP UNKN /TB NEG,None,NEG,ZKC,None,None,37.78,-89.25
202008010223,F,B737,TUS UA /OV 11L FINAL/TM 0223/FL060/TP B737/TB MOD TURB,None,MOD TURB,ZAB,None,6000,32.12027,-110.93798
202008010225,F,C210,DLO UA /OV GVO360052 /TM 0225 /FL120 /TP C210 /TA 12 /WV 23025KT,None,None,ZLA,None,12000,35.396736866736866,-120.09
202008010226,F,BE20,ANC UA /OV TED270050/TM 0226/FL190/TP BE20/SK TOPS 190/TA M13/IC MOD RIME /RM ICING DURD FROM FL180-120 (ZAN),MOD RIME,None,ZAN,None,19000,61.17,-151.71828563157194
