VALID,URGENT,AIRCRAFT,REPORT,ICING,TURBULENCE,ATRCC,PRODUCT_ID,FL,LAT,LON
202004010000,F,CRJ9,ACT UA /OV ACT040035 /TM 0000 /FL270 /TP CRJ9 /TB OCNL LGT CHOP /RM ZFW AWC-WEB:,None,OCNL LGT CHOP,ZFW,None,27000,32.064865454122206,-96.78794501958144
202004010000,F,CRJ9,ACT UA /OV ACT040035 /TM 0000 /FL270 /TP CRJ9 /TB OCNL LGT CHOP /RM ZFW AWC-WEB,None,OCNL LGT CHOP,ZFW,None,27000,32.064865454122206,-96.78794501958144
202004010000,F,PA11,MRI UA /OV MRI-BGQ224020 /TM 0000 /FL010 /TP PA11 /TB OCNL LGT /RM(AKFSS),None,OCNL LGT,ZAN,None,1000,61.21,-149.84
202004010000,F,PA11,MRI UA /OV MRI-BGQ224020 /TM 0000 /FL010 /TP PA11 /TB OCNL LGT /RM (AKFSS,None,OCNL LGT,ZAN,None,1000,61.21,-149.84
202004010004,F,A320,DFW UA /OV FUZ200010 /TM 0004 /FL390 /TP A320 /TB NEG CHOP /RM ZFW SMOOOOOTH AWC-WEB,None,NEG CHOP,ZFW,None,39000,32.73337187733928,-97.24788969831006
202004010004,F,A320,DFW UA /OV FUZ200010 /TM 0004 /FL390 /TP A320 /TB NEG CHOP /RM ZFW SMOOOOOTH AWC-WEB:,None,NEG CHOP,ZFW,None,39000,32.73337187733928,-97.24788969831006
202004010005,F,B767,RFD UA /OV KRFD/TM 0005/FL024/TP B767/SK BASES 024 TOPS 041,None,None,ZAU,None,2400,42.1927,-89.093
202004010005,F,B738,DCA UA /OV CSN27010/TM 0005/FL170/TP B738/TB MOD/RM DURD ON TRUPD ARVL 170-150 SMTH BLOW,None,MOD,ZDC,None,17000,38.64,-77.87
202004010005,F,A320,ORF UA /OV ORF/TM 0005/FL390/TP A320/TB LGT-MOD,None,LGT-MOD,ZDC,None,39000,36.90333,-76.19222
202004010009,F,B738,ILM UA /OV ILM195160/TM 0009/FL390/TP B738/TB CONS MOD CHOP,None,CONS MOD CHOP,ZJX,None,39000,31.69398915637537,-78.73524403335057
202004010012,F,A321,ATL UA /OV ATL/TM 0012/FL050/TP A321/SK BKN024-TOP062,None,None,ZTL,None,5000,33.6301,-84.4418
202004010015,F,EC35,TPA UA /OV 2802N 08219W /TM 0015 /FL010 /TP EC35 /SK BKN020 /WX FV08SM /TA 23 /WV 26035KT /TB CONT MOD CHOP 010/RM AWC-WEB,None,CONT MOD CHOP 010,ZJX,None,1000,28.333,-82.3166
202004010015,F,EC35,TPA UA /OV 2802N 08219W /TM 0015 /FL010 /TP EC35 /SK BKN020 /WX FV08SM /TA 23 /WV 26035KT /TB CONT MOD CHOP 010/RM AWC-WEB:,None,CONT MOD CHOP 010,ZJX,None,1000,28.333,-82.3166
202004010018,F,H25B,BNA UA /OV BNA240020/TM 0018/FLDURD/TP H25B/SK BKN065-TOP071,None,None,ZME,None,None,35.952209833319834,-87.04656056045506
202004010020,F,C172,EWN UA /OV RWY04 ILS FINAL/TM 0020/FL007/TP C172/SK BKN010 BKN017 OVC031/WX 5 +RA BR/RM AIRCRAFT REPORTED BASES AT 700 FEET ON FINAL RWY04,None,None,ZDC,None,700,35.0675,-77.04722
202004010020,F,E145,SAW UA /OV KSAW/TM 0020/FL020/TP E145/SK OVC0018 TOP029/TA M03/IC LGT RIME,LGT RIME,None,ZMP,None,2000,46.35364,-87.39536
202004010020,F,E75L,GSO UA /OV GSO050002/TM 0020/FLDURD/TP E75L/SK 020 OVC UNKN,None,None,ZTL,None,None,36.1189279891845,-79.91200555652642
202004010027,F,SH36,OGG UA /OV OGG205008/TM 0027/FL032/TP SH36/SK SCT025/TB SMOOTH,None,SMOOTH,None,None,3200,20.76914917359456,-156.49031860547197
202004010030,F,B752,GTF UA /OV 210015/TM 0030/FL070/TP B752/TA M06/IC LGT RIME,LGT RIME,None,ZLC,None,7000,47.4733,-111.3822
202004010030,F,C208,OTZ UA /OV OTZ300025/TM 0030/FL080/TP C208/SK TOP082/TA M18/TB NEG/RM DURC .ZAN,None,NEG,ZAN,None,8000,67.0883502083502,-163.5090516671047
202004010032,F,A333,ETC UA /OV TYI/TM 0032/FL260/TP A333/TB MOD/RM 260-270,None,MOD,ZDC,None,26000,35.98,-77.7
202004010032,F,E75,RIC UA /OV RIC/TM 0032/FL150/TP E75/TB MOD/RM 150-190,None,MOD,ZDC,None,15000,37.5115,-77.32336
202004010033,F,B737,DBN UA /OV DBN166039/TM 0033/FL350/TP B737/TB CONS LGT CHOP/RM ZTLFD,None,CONS LGT CHOP,ZJX,None,35000,31.93367339179953,-82.79868023741842
202004010039,F,PC12,RDG UA /OV 2 SW RDG/TM 0039/FL025/TP PC12/SK 022 OVC,None,None,ZNY,None,2500,40.35492786477023,-75.9961934352552
202004010040,F,HDJT,ARR UA /OV ARR015004/TM 0040/FLDURD/TP HDJT/SK OVC021-TOPUNKN,None,None,ZAU,None,None,41.83440027109062,-88.456863201012
202004010049,F,A320,CLT UA /OV CLT045022/TM 0049/FL130/TP A320/TA M10/IC LGT-MOD RIME,LGT-MOD RIME,None,ZTL,None,13000,35.48184348752747,-80.6369054406469
202004010052,F,B767,BFI UA /OV FINAL RWY 14R/TM 0052/FLFAP/TP B767/RM LLWS +20KT 015,None,None,ZSE,None,None,47.53,-122.3
202004010054,F,A320,DSM UA /OV DSM290040/TM 0054/FL380/TP A320/TB CONS LGT CHOP,None,CONS LGT CHOP,ZMP,None,38000,41.76198189798998,-94.49006763429267
202004010054,F,PA46,BAC UA /OV BAC/TM 0054/FL100/TP PA46/TA UNKN/IC TRACE RIME,TRACE RIME,None,ZMP,None,10000,46.9411851,-98.0180182
202004010100,F,BE9L,MFR UA /OV OED320025/TM 0100/FL070/TP BE9L/TA M04/TB MOD CHOP/IC LGT MX/RM ..ZSE,LGT MX,MOD CHOP,ZSE,None,7000,42.79921103865871,-123.27317979775832
