VALID,URGENT,AIRCRAFT,REPORT,ICING,TURBULENCE,ATRCC,PRODUCT_ID,FL,LAT,LON
202006010000,F,C210,BFL UA /OV FLW360015 /TM 0000 /FL110 /TP C210 /TA 04 /WV 21714KT /TB LGT CHOP,None,LGT CHOP,ZLA,None,11000,35.34002025002025,-119.87
202006010011,F,B737,TUS UA /OV 11L FINAL/TM 0011/FLDURD/TP B737/RM LIGHT CROSSWIND AND LIGHT CHOP ON FINAL,None,None,ZAB,None,None,32.12027,-110.93798
202006010020,F,B737,ADK UA /OV ADK/TM 0020/FLUNKN/TP B737/WX FL45SM/TB LGT/IC NEG/RM ZAN,NEG,LGT,ZAN,None,None,51.87,-176.64
202006010024,F,E75S,TOL UA /OV TOL/TM 0024/FL190/TP E75S/TB ALT 190-235 LIGHT-MOD TURB,None,ALT 190-235 LIGHT-MOD TURB,ZOB,None,19000,41.58861,-83.80139
202006010027,F,A109,PAE UA /OV KPAE/TM 0027/FLUNKN/TP A109/SK BKN023-TOPUNKN/RM DURD,None,None,ZSE,None,None,47.90699,-122.28157
202006010037,F,E75L,SMF UA /OV SMF120030/TM 0037/FL060/TP E75L/TB MOD CHOP/RM DURC,None,MOD CHOP,ZOA,None,6000,38.44539974997975,-121.03593226177128
202006010045,F,B737,RSW UA /OV RSW240005/TM 0045/FL015/TP B737/TB SMOOTH,None,SMOOTH,ZMA,None,1500,26.49638995832996,-81.83740469534857
202006010053,F,P28A,TTN UA /OV ARD /TM 0053 /FL030 /TP P28A /WX FV99SM /TA 07 /TB NEG,None,NEG,ZDC,None,3000,40.25,-74.91
202006010054,F,C205,UA /OV CYLI 270010 /TM 0054 /FLUNKN /TP C205 /TB LGT TO MDT /RM VCTY SETON LAKE,None,LGT TO MDT,None,None,None,50.67,-122.15299125447424
202006010058,F,C150,AST UA /OV AST090010 /TM 0058 /FL045 /TP C150 /SK FEW045/FEW050 /TA 02,None,None,ZSE,None,4500,46.1569,-123.64187121914756
202006010101,F,C560,FMY UA /OV FMY030005/TM 0101/FL040/TP C560/SK BKN040/TB SMOOTH,None,SMOOTH,ZMA,None,4000,26.657124629326024,-81.81485338278821
202006010101,F,C560,RSW UA /OV RSW350008/TM 0101/FL040/TP C560/SK BKN040/TB SMOOTH,None,SMOOTH,ZMA,None,4000,26.669378336336,-81.78261194530073
202006010102,F,BE58,NJM UA /OV KNJM /TM 0102 /FL100 /TP BE58 /SK SKC /TB NEG,None,NEG,ZDC,None,10000,34.694,-77.0294
202006010105,T,MD11,BET UUA /OV BET/TM 0105/FL400/TP MD11/SK TS TOPS FL350,None,None,ZAN,None,40000,60.77,-161.83
202006010108,F,B748,LFK UA /OV LFK230040 /TM 0108 /FL140 /TP B748 /TB MOD /RM FM KZHU AWC-WEB,None,MOD,ZHU,None,14000,30.805450216310007,-95.34731443801594
202006010108,F,B748,LFK UA /OV LFK230040 /TM 0108 /FL140 /TP B748 /TB MOD /RM FM KZHU AWC-WEB:,None,MOD,ZHU,None,14000,30.805450216310007,-95.34731443801594
202006010112,T,MD11,GPI UUA /OV FCA/TM 0112/FL330/TP MD11/TB SEV/RM BETTER OUT OF 320 / ZLC,None,SEV,ZLC,None,33000,48.21,-114.18
202006010115,F,C77R,EPH UA /OV 5W1360010 /TM 0115 /FL065 /TP C77R /SK FEW075 /WX FV10SM /TA 06 /WV 20015KT /TB CONS LGT,None,CONS LGT,ZSE,None,6500,47.58668016668017,-119.11
202006010120,F,B737,BTR UA /OV LSU090040 /TM 0120 /FL340 /TP B737 /TB LGT-MOD CHOP /RM FM KZHU AWC-WEB,None,LGT-MOD CHOP,ZHU,None,34000,30.48,-90.52636828230976
202006010120,F,B737,BTR UA /OV LSU090040 /TM 0120 /FL340 /TP B737 /TB LGT-MOD CHOP /RM FM KZHU AWC-WEB:,None,LGT-MOD CHOP,ZHU,None,34000,30.48,-90.52636828230976
202006010124,F,C525,CMH UA /OV APE120015/TM 0124/FL220/TP C525/TB CONS LGT OCNL MOD,None,CONS LGT OCNL MOD,ZID,None,22000,40.02498987498987,-82.3067248814646
202006010135,F,B737,SIT UA /OV SIT/TM 0135/FL140/TP B737/SK OVC120 -TOP UNKN,None,None,ZAN,None,14000,57.04,-135.36
202006010139,F,CRJ9,ESF UA /OV SWB130015 /TM 0139 /FL350 /TP CRJ9 /TB MOD CHOP /RM FM KZHU AWC-WEB,None,MOD CHOP,ZHU,None,35000,31.809290081116252,-92.4542297789956
202006010139,F,CRJ9,ESF UA /OV SWB130015 /TM 0139 /FL350 /TP CRJ9 /TB MOD CHOP /RM FM KZHU AWC-WEB:,None,MOD CHOP,ZHU,None,35000,31.809290081116252,-92.4542297789956
202006010139,F,E75,LOZ UA /OV LOZ180005/TM 0139/FL370/TP E75/TB OCNL CONS LGT-MOD CHOP,None,OCNL CONS LGT-MOD CHOP,ZID,None,37000,37.00365991665992,-84.077
202006010144,F,A321,ACT UA /OV GNL /TM 0144 /FL220 /TP A321 /TB MOD CHOP 230-285/RM AWC-WEB,None,MOD CHOP 230-285,ZFW,None,22000,31.58,-96.55
202006010144,F,A321,ACT UA /OV GNL /TM 0144 /FL220 /TP A321 /TB MOD CHOP 230-285/RM AWC-WEB:,None,MOD CHOP 230-285,ZFW,None,22000,31.58,-96.55
202006010145,F,C172,JNU UA /OV JNU /TM 0145 /FL005 /TP C172 /RM SQUALLS NEAR JNU APT IMPROVED WX ONCE OUT OF JNU (AKFSS),None,None,ZAN,None,500,58.35,-134.57
202006010145,F,C172,JNU UA /OV JNU /TM 0145 /FL005 /TP C172 /RM SQUALLS NEAR JNU APT  IMPROVED WX ONCE OUT OF JNU (AKFSS,None,None,ZAN,None,500,58.35,-134.57
202006010150,F,E175,SAT UA /OV 15N SAT/TM 0150/FL170/TP E175/TA -5/IC LIGHT RIME,LIGHT RIME,None,ZHU,None,17000,29.78371025002025,-98.46978
202006010200,F,C25A,MRY UA /OV PXN300020/TM 0200/FL190/TP C25A/SK BASES 180. TOPS 190 OVC/TA 03/IC LGT RIME/RM THIN LAYER,LGT RIME,None,ZOA,None,19000,36.886680166680165,-121.14016767500797
