VALID,URGENT,AIRCRAFT,REPORT,ICING,TURBULENCE,ATRCC,PRODUCT_ID,FL,LAT,LON
202005010000,F,B737,EWR UA /OV 22R/TM 0000/FL020/TP B737/TB MODERATE/RM MODERATE TURBULENCE THROUGHOUT THE EWR AIRSPACE,None,MODERATE,ZNY,None,2000,40.68272,-74.16932
202005010001,F,E135,BKW UA /OV BKW360005/TM 0001/FL110/TP E135/TA M07/IC LGT RIME 110-120,LGT RIME 110-120,None,ZID,None,11000,37.87067008334008,-81.12416
202005010002,F,B737,CMH UA /OV CMH/TM 0002/FLDURC/TP B737/SK B018 T072,None,None,ZID,None,None,39.99139,-82.88083
202005010003,F,BE20,TRK UA /OV RNO-RNO225030 /TM 0003 /FL220 /TP BE20 /TB CONS LGT 100-120 /RM DURC SW,None,CONS LGT 100-120,ZOA,None,22000,39.32004,-120.13956
202005010005,F,C208,BZN UA /OV BZN330025/TM 0005/FLDURC/TP C208/TA -2/IC LIGHT CLEAR ICE 125 -130,LIGHT CLEAR ICE 125 -130,None,ZLC,None,None,46.14893314663012,-111.45961944496526
202005010007,F,E135,PKB UA /OV USW/TM 0007/FL090/TP E135/TA M09/IC LGT RIME 110-090,LGT RIME 110-090,None,ZID,None,9000,38.82,-81.34
202005010008,F,C208,HLN UA /OV 28SE/TM 0008/FL130/TP C208/TA M06/IC LGT CLR,LGT CLR,None,ZLC,None,13000,46.6056,-111.9636
202005010014,F,BE20,UA /OV CYFB /TM 0014 /FLDURD /TP BE20 /IC LGT MXD 016-030,LGT MXD 016-030,None,None,None,None,63.75639,-68.55583
202005010015,F,DC4,ENA UA /OV ENA150020 /TM 0015 /FL085 /TP DC4 /WX FV99SM /RM SMOKE RESTRICTING VIS TO THE SE (AKFSS,None,None,ZAN,None,8500,60.2813014826959,-150.90077780727358
202005010015,F,DC4,ENA UA /OV ENA150020 /TM 0015 /FL085 /TP DC4 /WX FV99SM /RM SMOKERESTRICTING VIS TO THE SE (AKFSS),None,None,ZAN,None,8500,60.2813014826959,-150.90077780727358
202005010016,F,B190,BZN UA /OV BZN050005/TM 0016/FLDURC/TP B190/TB SMOOTH/IC NO ICING,NO ICING,SMOOTH,ZLC,None,None,45.84162997296125,-111.06927560240871
202005010022,F,E75L,CJR UA /OV CSN270045/TM 0022/FL240/TP E75L/TB MOD CONS CAT 240-200,None,MOD CONS CAT 240-200,ZDC,None,24000,38.64,-78.83028090096819
202005010027,F,A319,EKN UA /OV LDN270045/TM 0027/FL240/TP A319/TB MOD CONS CAT 240-190,None,MOD CONS CAT 240-190,ZDC,None,24000,38.85,-79.17310934689472
202005010027,F,C208,CMH UA /OV 4I3/TM 0027/FL070/TP C208/TA -3/IC LIGHT CLEAR @ 070/RM THEY DESCENDED TO 050 TO AVOID THE ICEING,LIGHT CLEAR @ 070,None,ZID,None,7000,40.3289167,-82.5260833
202005010030,F,E145,ERI UA /OV 30 W ERI/TM 0030/FL110/TP E145/TA -9/IC LIGHT RIME /RM 110-088,LIGHT RIME,None,ZOB,None,11000,42.08,-80.85371851917239
202005010030,F,B738,CVG UA /OV CVG/TM 0030/FLUNKN/TP B738/SK 080 SCT T060 OVC B028/RM DURGD,None,None,ZID,None,None,39.04306,-84.67167
202005010032,F,B737,DCA UA /OV DCA180030/TM 0032/FL170/TP B737/TB MODERATE/RM FL190 DESCENDING 170.... SMOOTHS OUT BELOW 160,None,MODERATE,ZDC,None,17000,38.3471594999595,-77.03455
202005010032,F,C172,DTL UA /OV 3N8180005 /TM 0032 /FL045 /TP C172 /WX FV10SM FU /TA UNKN /TB NEG /IC NEG /RM REPORTED TA AS M43C PILOT AGREED THAT WAS UNLIKELY TO BE ACCURATE,NEG,NEG,ZMP,None,4500,47.17715991665992,-95.9281
202005010033,T,SW4,RIW UUA /OV RIW330015/TM 0033/FL110/TP SW4/TA `/TB MOD - SEV CHOP/RM ZLC,None,MOD - SEV CHOP,ZLC,None,11000,43.28075388797807,-108.63094875674396
202005010035,F,B190,PIH UA /OV PIH050015/TM 0035/FL150/TP B190/TA M04/TB MOD /IC MOD MX/RM MOD HAIL SMALL PEBBLES /ZLC,MOD MX,MOD,ZLC,None,15000,43.07051991888375,-112.33442391026777
202005010036,F,A321,JFK UA /OV JFK/TM 0036/FL080/TP A321/TB MOD/RM A321 MODERATE TURBULENCE DESCENDING OUT OF 8000' OVER JFK.,None,MOD,ZNY,None,8000,40.63861,-73.76222
202005010036,F,A321,JFK UA /OV JFK/TM 0036/FL080/TP A321/TB MOD/RM A321 MODERATE TURBULENCE DESCENDING OUT OF 8000' OVER JFK,None,MOD,ZNY,None,8000,40.63861,-73.76222
202005010037,F,B737,DOV UA /OV ENO/TM 0037/FL140/TP B737/TB LGT-MOD/IC RM 110-140 ON PATTS PHL ARRIVAL,RM 110-140 ON PATTS PHL ARRIVAL,LGT-MOD,ZDC,None,14000,39.23,-75.52
202005010038,F,B737,PHL UA /OV 10 N ENO/TM 0038/FL100/TP B737/TB MOD,None,MOD,ZDC,None,10000,39.39668016668016,-75.52
202005010038,F,BE99,SLC UA /OV FFU220010/TM 0038/FL140/TP BE99/TB MDT CHOP,None,MDT CHOP,ZLC,None,14000,40.14231558453652,-112.08041805944788
202005010050,F,B190,HDN UA /OV CHE360010/TM 0050/FL130/TP B190/TA 0/IC MOD MIXED/RM ZDV,MOD MIXED,None,ZDV,None,13000,40.68668016668017,-107.31
202005010050,F,C172,ENA UA /OV TED127008-ENA /TM 0050 /FL027 /TP C172 /WX FV99SM /TB LGT /RM SHRA E (AKFSS,None,LGT,ZAN,None,2700,61.08975149730431,-149.76915675569956
202005010050,F,C172,ENA UA /OV TED127008-ENA /TM 0050 /FL027 /TP C172 /WX FV99SM /TBLGT /RM SHRA E (AKFSS),None,LGT,ZAN,None,2700,61.08975149730431,-149.76915675569956
202005010055,F,HDJT,HUF UA /OV TTH170025/TM 0055/FL080/TP HDJT/TA M7/IC LGT RIME,LGT RIME,None,ZID,None,8000,39.079630198950014,-87.15623826463762
202005010100,F,CRJ9,CVG UA /OV CVG/TM 0100/FLUNKN/TP CRJ9/SK T095 OVC B074 T065 OVC B027/RM DURGD,None,None,ZID,None,None,39.04306,-84.67167
202005010104,T,C525,DEN UUA /OV DEN140030/TM 0104/FL130/TP C525/TB MOD-SEV/RM MOD-SEV TURB 130-110,None,MOD-SEV,ZDV,None,13000,39.44974675360954,-104.23893932686413
202005010104,F,C525,DEN UA /OV DEN140030/TM 0104/FL130/TP C525/TB MOD-SEV/RM MOD-SEV TURB 130-110,None,MOD-SEV,ZDV,None,13000,39.44974675360954,-104.23893932686413
202005010105,F,PC12,SBA UA /OV GVO/TM 0105/FL035/TP PC12/TB MOD/RM DURD 035-023,None,MOD,ZLA,None,3500,34.53,-120.09
202005010109,F,B737,PRC UA /OV DRK255050/TM 0109/FL260/TP B737/TB MOD/RM ZAB/FDCS,None,MOD,ZAB,None,26000,34.48429999211155,-113.45915127819141
